iter	Passed	Remaining
738	14969	5286
739	14987	5265
740	15007	5245
741	15028	5225
742	15050	5205
743	15071	5185
744	15091	5165
745	15112	5145
746	15131	5124
747	15151	5104
748	15174	5085
749	15196	5065
750	15215	5044
751	15235	5024
752	15256	5004
753	15276	4984
754	15296	4963
755	15316	4943
756	15339	4923
757	15359	4903
758	15380	4883
759	15400	4863
760	15420	4843
761	15442	4823
762	15462	4803
763	15485	4783
764	15505	4763
765	15525	4742
766	15545	4722
767	15565	4702
768	15586	4682
769	15606	4661
770	15625	4641
771	15643	4620
772	15664	4599
773	15684	4579
774	15702	4558
775	15721	4538
776	15740	4517
777	15759	4497
778	15779	4476
779	15798	4456
780	15817	4435
781	15837	4415
782	15857	4394
783	15876	4374
784	15896	4353
785	15915	4333
786	15933	4312
787	15951	4291
788	15970	4271
789	15992	4251
790	16011	4230
791	16031	4210
792	16050	4189
793	16070	4169
794	16090	4149
795	16109	4128
796	16129	4108
797	16148	4087
798	16167	4067
799	16187	4046
800	16207	4026
801	16226	4005
802	16246	3985
803	16266	3965
804	16286	3945
805	16306	3924
806	16326	3904
807	16345	3884
808	16365	3863
809	16383	3843
810	16403	3822
811	16422	3802
812	16442	3781
813	16462	3761
814	16481	3741
815	16502	3721
816	16522	3700
817	16541	3680
818	16561	3660
819	16581	3639
820	16599	3619
821	16619	3598
822	16639	3578
823	16659	3558
824	16680	3538
825	16699	3517
826	16720	3497
827	16742	3477
828	16764	3458
829	16786	3438
830	16807	3418
831	16826	3397
832	16848	3377
833	16868	3357
834	16890	3337
835	16907	3316
836	16926	3296
837	16946	3276
838	16967	3256
839	16987	3235
840	17007	3215
841	17026	3194
842	17046	3174
843	17066	3154
844	17085	3134
845	17105	3113
846	17125	3093
847	17145	3073
848	17165	3052
849	17185	3032
850	17205	3012
851	17224	2992
852	17245	2971
853	17265	2951
854	17285	2931
855	17304	2911
856	17324	2890
857	17345	2870
858	17364	2850
859	17384	2830
860	17404	2809
861	17423	2789
862	17443	2769
863	17463	2748
864	17483	2728
865	17502	2708
866	17522	2688
867	17542	2667
868	17561	2647
869	17581	2627
870	17600	2606
871	17620	2586
872	17640	2566
873	17660	2545
874	17680	2525
875	17699	2505
876	17719	2485
877	17739	2464
878	17758	2444
879	17777	2424
880	17795	2403
881	17815	2383
882	17834	2363
883	17854	2342
884	17874	2322
885	17894	2302
886	17914	2282
887	17933	2261
888	17952	2241
889	17972	2221
890	17992	2201
891	18011	2180
892	18033	2160
893	18054	2140
894	18076	2120
895	18096	2100
896	18115	2080
897	18135	2059
898	18155	2039
899	18177	2019
900	18200	1999
901	18220	1979
902	18240	1959
903	18261	1939
904	18282	1919
905	18301	1898
906	18321	1878
907	18341	1858
908	18361	1838
909	18380	1817
910	18400	1797
911	18420	1777
912	18439	1757
913	18460	1736
914	18480	1716
915	18500	1696
916	18520	1676
917	18541	1656
918	18560	1635
919	18580	1615
920	18599	1595
921	18618	1575
922	18638	1554
923	18658	1534
924	18678	1514
925	18697	1494
926	18716	1473
927	18736	1453
928	18755	1433
929	18774	1413
930	18794	1392
931	18814	1372
932	18834	1352
933	18853	1332
934	18873	1312
935	18892	1291
936	18912	1271
937	18932	1251
938	18951	1231
939	18971	1210
940	18990	1190
941	19010	1170
942	19030	1150
943	19049	1130
944	19068	1109
945	19087	1089
946	19107	1069
947	19127	1049
948	19145	1028
949	19165	1008
950	19185	988
951	19203	968
952	19223	948
953	19242	927
954	19260	907
955	19279	887
956	19299	867
957	19317	846
958	19337	826
959	19358	806
960	19379	786
961	19399	766
962	19418	746
963	19439	725
964	19459	705
965	19479	685
966	19499	665
967	19519	645
968	19539	625
969	19558	604
970	19579	584
971	19599	564
972	19618	544
973	19639	524
974	19658	504
975	19677	483
976	19697	463
977	19717	443
978	19736	423
979	19756	403
980	19775	383
981	19795	362
982	19814	342
983	19834	322
984	19854	302
985	19875	282
986	19895	262
987	19915	241
988	19935	221
989	19954	201
990	19977	181
991	20000	161
992	20021	141
993	20042	120
994	20063	100
995	20084	80
996	20103	60
997	20124	40
998	20144	20
999	20165	0
